input,target
action: continue distance: 10 steps,Walk forward for 10 steps.
action: turn direction: right distance: 15 steps,"In 15 steps, turn right."
action: stop landmark: information desk,Stop. You are at the information desk.
action: continue distance: 30 steps,Continue straight for 30 steps.
action: turn direction: left distance: 20 steps,"In 20 steps, turn left."
action: continue distance: 45 steps landmark: Sephora,Walk straight for 45 steps to reach Sephora.
action: stop landmark: restroom,Stop here. You have reached the restroom.
action: continue distance: 25 steps,Walk straight for 25 steps.
action: turn direction: right distance: 5 steps,"In 5 steps, turn right."
action: stop landmark: ATM,Stop. The ATM is directly in front of you.
action: continue distance: 55 steps,Keep walking straight for 55 steps.
action: continue distance: 18 steps landmark: elevator,Walk 18 steps straight to the elevator.
action: turn direction: left distance: 30 steps,"In 30 steps, turn left."
action: stop landmark: Nike,Stop. You have arrived at Nike.
action: continue distance: 40 steps,Walk straight for 40 steps.
action: turn direction: right distance: 12 steps,"In 12 steps, turn right."
action: continue distance: 22 steps landmark: pharmacy,Walk 22 steps straight ahead to the pharmacy.
action: stop landmark: stairs,Stop. The stairs are in front of you.
action: turn direction: left distance: 8 steps,"In 8 steps, turn left."
action: continue distance: 50 steps landmark: Apple Store,Walk straight for 50 steps to the Apple Store.
action: continue distance: 35 steps,Continue forward for 35 steps.
action: turn direction: right distance: 20 steps,"In 20 steps, turn right."
action: stop landmark: security desk,Stop. You have reached the security desk.
action: continue distance: 15 steps,Walk straight for 15 steps.
action: turn direction: left distance: 25 steps,"In 25 steps, turn left."
action: continue distance: 60 steps landmark: food court,Walk 60 steps straight to the food court.
action: stop landmark: Zara,Stop. You are at Zara.
action: continue distance: 42 steps,Walk forward for 42 steps.
action: turn direction: right distance: 18 steps,"In 18 steps, turn right."
action: stop landmark: seating area,Stop here for the seating area.
action: continue distance: 28 steps,Continue straight for 28 steps.
action: turn direction: left distance: 10 steps,"In 10 steps, turn left."
action: continue distance: 33 steps landmark: Uniqlo,Walk 33 steps forward to reach Uniqlo.
action: board direction: up landmark: escalator,Step onto the escalator going up.
action: continue distance: 48 steps,Walk straight for 48 steps.
action: turn direction: right distance: 30 steps,"In 30 steps, turn right."
action: stop landmark: Starbucks,Stop. You have arrived at Starbucks.
action: continue distance: 12 steps,Go straight for 12 steps.
action: turn direction: left distance: 15 steps,"In 15 steps, turn left."
action: continue distance: 38 steps landmark: Adidas,Walk 38 steps straight to Adidas.
action: stop landmark: water fountain,Stop. The water fountain is in front of you.
action: continue distance: 22 steps,Continue forward for 22 steps.
action: turn direction: right distance: 7 steps,"In 7 steps, turn right."
action: continue distance: 52 steps landmark: Gap,Walk straight for 52 steps to reach the Gap.
action: stop landmark: mall directory,Stop. You are at the mall directory.
action: continue distance: 19 steps,Walk straight for 19 steps.
action: turn direction: left distance: 40 steps,"In 40 steps, turn left."
action: continue distance: 26 steps landmark: Lego Store,Walk forward 26 steps to the Lego Store.
action: stop landmark: entrance,Stop. You have reached the main entrance.
action: continue distance: 65 steps,Continue straight for 65 steps.
action: continue distance: 10 steps,Walk straight for 10 steps.
action: continue distance: 15 steps,Continue straight for 15 steps.
action: continue distance: 20 steps,Walk forward for 20 steps.
action: continue distance: 25 steps,Continue forward for 25 steps.
action: continue distance: 30 steps,Walk straight for 30 steps.
action: continue distance: 35 steps,Continue straight for 35 steps.
action: continue distance: 40 steps,Walk forward for 40 steps.
action: continue distance: 45 steps,Continue forward for 45 steps.
action: continue distance: 50 steps,Walk straight for 50 steps.
action: continue distance: 60 steps,Continue straight for 60 steps.
action: turn direction: left distance: 5 steps,"In 5 steps, turn left."
action: turn direction: left distance: 10 steps,"In 10 steps, turn left."
action: turn direction: left distance: 12 steps,"In 12 steps, turn left."
action: turn direction: left distance: 15 steps,"In 15 steps, turn left."
action: turn direction: left distance: 18 steps,"In 18 steps, turn left."
action: turn direction: left distance: 20 steps,"In 20 steps, turn left."
action: turn direction: left distance: 22 steps,"In 22 steps, turn left."
action: turn direction: left distance: 25 steps,"In 25 steps, turn left."
action: turn direction: left distance: 30 steps,"In 30 steps, turn left."
action: turn direction: left distance: 35 steps,"In 35 steps, turn left."
action: turn direction: right distance: 5 steps,"In 5 steps, turn right."
action: turn direction: right distance: 8 steps,"In 8 steps, turn right."
action: turn direction: right distance: 10 steps,"In 10 steps, turn right."
action: turn direction: right distance: 12 steps,"In 12 steps, turn right."
action: turn direction: right distance: 15 steps,"In 15 steps, turn right."
action: turn direction: right distance: 18 steps,"In 18 steps, turn right."
action: turn direction: right distance: 20 steps,"In 20 steps, turn right."
action: turn direction: right distance: 25 steps,"In 25 steps, turn right."
action: turn direction: right distance: 30 steps,"In 30 steps, turn right."
action: turn direction: right distance: 40 steps,"In 40 steps, turn right."
action: continue distance: 5 steps landmark: Zara,Continue straight for 5 steps to reach Zara.
action: continue distance: 8 steps landmark: Starbucks,Walk straight for 8 steps to reach Starbucks.
action: continue distance: 10 steps landmark: Sephora,Walk forward for 10 steps. Sephora is at your destination.
action: continue distance: 12 steps landmark: Apple Store,Continue straight for 12 steps to reach the Apple Store.
action: continue distance: 15 steps landmark: Nike,Walk straight for 15 steps. You have reached Nike.
action: continue distance: 20 steps landmark: Washroom,Continue forward for 20 steps to reach the washroom.
action: continue distance: 7 steps landmark: Pharmacy,Walk straight for 7 steps. You have arrived at the pharmacy.
action: continue distance: 9 steps landmark: H&M,Walk forward for 9 steps to reach H&M.
action: continue distance: 11 steps landmark: Food Court,Continue straight for 11 steps to enter the food court.
action: continue distance: 14 steps landmark: Bookstore,Walk straight for 14 steps. The bookstore is directly ahead.
action: continue distance: 6 steps landmark: escalator,Walk straight for 6 steps to reach the escalator.
action: continue distance: 13 steps landmark: elevator,Continue forward for 13 steps to the elevator.
action: continue distance: 16 steps landmark: Uniqlo,Walk straight for 16 steps to reach Uniqlo.
action: continue distance: 18 steps landmark: Lush,Continue straight for 18 steps. Lush is at your destination.
action: continue distance: 22 steps landmark: GameStop,Walk forward for 22 steps to reach GameStop.
action: board direction: up landmark: escalator,Step onto the escalator going up.
action: board direction: down landmark: elevator,Enter the elevator to go down.
action: stop landmark: Information Desk,Stop here. You have reached the information desk.
action: stop landmark: stairs,Stop here. You have reached the stairs.
action: exit direction: straight distance: 5 steps landmark: elevator,Exit the elevator and walk straight for 5 steps.
action: turn direction: left distance: 12 steps,"In 12 steps, turn left."
action: turn direction: right distance: 15 steps,"In 15 steps, turn right."
action: turn direction: left distance: 8 steps,"In 8 steps, turn left."
action: turn direction: right distance: 20 steps,"In 20 steps, turn right."
action: turn direction: left distance: 14 steps,"In 14 steps, turn left."
action: turn direction: right distance: 11 steps,"In 11 steps, turn right."
action: turn direction: left distance: 19 steps,"In 19 steps, turn left."
action: turn direction: right distance: 7 steps,"In 7 steps, turn right."
action: turn direction: left distance: 25 steps,"In 25 steps, turn left."
action: turn direction: right distance: 13 steps,"In 13 steps, turn right."
action: turn direction: left distance: 6 steps landmark: elevator,"In 6 steps, turn left towards the elevator."
action: turn direction: right distance: 10 steps landmark: stairs,"In 10 steps, turn right towards the stairs."
action: turn direction: left distance: 21 steps landmark: Sephora,"In 21 steps, turn left towards Sephora."
action: turn direction: right distance: 16 steps landmark: escalator,"In 16 steps, turn right towards the escalator."
action: turn direction: left distance: 9 steps landmark: H&M,"In 9 steps, turn left towards H&M."
action: turn direction: right distance: 12 steps landmark: washroom,"In 12 steps, turn right towards the washroom."
action: turn direction: left distance: 5 steps landmark: Gap,"In 5 steps, turn left towards Gap."
action: turn direction: right distance: 18 steps landmark: elevator,"In 18 steps, turn right towards the elevator."
action: turn direction: left distance: 24 steps landmark: food court,"In 24 steps, turn left towards the food court."
action: turn direction: right distance: 15 steps landmark: stairs,"In 15 steps, turn right towards the stairs."
action: turn direction: left distance: 10 steps,"In 10 steps, turn left."
action: turn direction: right distance: 22 steps,"In 22 steps, turn right."
action: turn direction: left distance: 30 steps,"In 30 steps, turn left."
action: turn direction: right distance: 5 steps,"In 5 steps, turn right."
action: turn direction: left distance: 12 steps,"In 12 steps, turn left."
action: turn direction: right distance: 14 steps,"In 14 steps, turn right."
action: turn direction: left distance: 8 steps,"In 8 steps, turn left."
action: turn direction: right distance: 11 steps,"In 11 steps, turn right."
action: turn direction: left distance: 23 steps,"In 23 steps, turn left."
action: turn direction: right distance: 17 steps,"In 17 steps, turn right."
action: turn direction: left distance: 9 steps landmark: escalator,"In 9 steps, turn left towards the escalator."
action: turn direction: right distance: 26 steps landmark: Uniqlo,"In 26 steps, turn right towards Uniqlo."
action: turn direction: left distance: 13 steps landmark: elevator,"In 13 steps, turn left towards the elevator."
action: turn direction: right distance: 28 steps landmark: bookstore,"In 28 steps, turn right towards the bookstore."
action: turn direction: left distance: 10 steps landmark: stairs,"In 10 steps, turn left towards the stairs."
action: turn direction: right distance: 15 steps landmark: Lush,"In 15 steps, turn right towards Lush."
action: turn direction: left distance: 7 steps landmark: pharmacy,"In 7 steps, turn left towards the pharmacy."
action: turn direction: right distance: 20 steps landmark: escalator,"In 20 steps, turn right towards the escalator."
action: turn direction: left distance: 18 steps landmark: Adidas,"In 18 steps, turn left towards Adidas."
action: turn direction: right distance: 12 steps landmark: washroom,"In 12 steps, turn right towards the washroom."
action: turn direction: left distance: 14 steps,"In 14 steps, turn left."
action: turn direction: right distance: 21 steps,"In 21 steps, turn right."
action: turn direction: left distance: 6 steps,"In 6 steps, turn left."
action: turn direction: right distance: 9 steps,"In 9 steps, turn right."
action: turn direction: left distance: 25 steps,"In 25 steps, turn left."
action: turn direction: right distance: 16 steps,"In 16 steps, turn right."
action: turn direction: left distance: 11 steps,"In 11 steps, turn left."
action: turn direction: right distance: 22 steps,"In 22 steps, turn right."
action: turn direction: left distance: 15 steps landmark: Lego Store,"In 15 steps, turn left towards Lego Store."
action: turn direction: right distance: 13 steps landmark: elevator,"In 13 steps, turn right towards the elevator."
action: continue distance: 60 steps,Walk straight for 60 steps.
action: continue distance: 100 steps,Continue walking straight for 100 steps.
action: stop landmark: Zara,Stop here. You have arrived at Zara.
action: turn direction: left distance: 45 steps,"In 45 steps, turn left."
action: turn direction: right distance: 35 steps,"In 35 steps, turn right."
action: continue distance: 120 steps landmark: H&M,Walk straight for 120 steps to reach H&M.
action: stop landmark: Uniqlo,Stop. You are at the entrance to Uniqlo.
action: continue distance: 80 steps,Continue straight for 80 steps.
action: continue distance: 150 steps,Take 150 steps forward.
action: stop landmark: Gap,Stop here. You have reached the Gap.
action: turn direction: left distance: 20 steps,"In 20 steps, turn left."
action: turn direction: right distance: 50 steps,"In 50 steps, turn right."
action: stop landmark: Nike,Stop. You have reached the Nike store.
action: continue distance: 75 steps landmark: Levi's,Walk straight for 75 steps to reach Levi's.
action: continue distance: 110 steps,Walk straight for 110 steps.
action: continue distance: 95 steps landmark: Adidas,Continue forward for 95 steps to reach Adidas.
action: stop landmark: Gucci,Stop. You have arrived at Gucci.
action: turn direction: left distance: 65 steps,"In 65 steps, turn left."
action: turn direction: right distance: 85 steps,"In 85 steps, turn right."
action: continue distance: 130 steps,Continue straight for 130 steps.
action: stop landmark: Prada,Stop here. You are at Prada.
action: continue distance: 40 steps landmark: Lululemon,Walk 40 steps straight ahead to reach Lululemon.
action: turn direction: left distance: 15 steps,"In 15 steps, turn left."
action: stop landmark: Old Navy,Stop. You have reached Old Navy.
action: continue distance: 180 steps,Continue straight for 180 steps.
action: continue distance: 55 steps landmark: Hollister,Walk straight for 55 steps to arrive at Hollister.
action: stop landmark: Vans,Stop here. You have reached the Vans store.
action: turn direction: right distance: 40 steps,"In 40 steps, turn right."
action: continue distance: 70 steps landmark: Puma,Walk forward for 70 steps to reach Puma.
action: stop landmark: Reebok,Stop. You are at Reebok.
action: continue distance: 90 steps,Walk straight for 90 steps.
action: turn direction: left distance: 55 steps,"In 55 steps, turn left."
action: stop landmark: Chanel,Stop here. You have reached Chanel.
action: continue distance: 140 steps landmark: Dior,Walk straight for 140 steps to reach Dior.
action: turn direction: right distance: 30 steps,"In 30 steps, turn right."
action: stop landmark: Burberry,Stop. You have arrived at Burberry.
action: continue distance: 65 steps,Continue straight for 65 steps.
action: stop landmark: Coach,Stop here. You are at Coach.
action: continue distance: 115 steps landmark: Fossil,Walk 115 steps straight to reach Fossil.
action: turn direction: left distance: 80 steps,"In 80 steps, turn left."
action: continue distance: 160 steps,Continue straight for 160 steps.
action: stop landmark: Sephora,Stop. You have reached Sephora.
action: turn direction: right distance: 25 steps,"In 25 steps, turn right."
action: stop landmark: Pandora,Stop here. You are at Pandora.
action: continue distance: 50 steps landmark: Guess,Walk straight for 50 steps to reach Guess.
action: continue distance: 125 steps,Walk straight forward for 125 steps.
action: stop landmark: Lacoste,Stop. You have arrived at Lacoste.
action: turn direction: left distance: 40 steps,"In 40 steps, turn left."
action: stop landmark: Armani,Stop here. You have reached Armani.
action: continue distance: 200 steps landmark: Victoria's Secret,Walk straight for 200 steps to reach Victoria's Secret.
action: turn direction: left distance: 20 steps,"In 20 steps, turn left."
action: turn direction: right distance: 15 steps,"In 15 steps, turn right."
action: turn direction: left distance: 30 steps landmark: washroom,"In 30 steps, turn left towards the washroom."
action: turn direction: right distance: 12 steps landmark: elevator,"In 12 steps, turn right towards the elevator."
action: turn direction: left distance: 45 steps landmark: Zara,"In 45 steps, turn left towards Zara."
action: turn direction: right distance: 8 steps landmark: escalator,"In 8 steps, turn right towards the escalator."
action: turn direction: left distance: 50 steps landmark: pharmacy,"In 50 steps, turn left towards the pharmacy."
action: turn direction: right distance: 22 steps landmark: stairs,"In 22 steps, turn right towards the stairs."
action: turn direction: left distance: 10 steps landmark: Sephora,"In 10 steps, turn left towards Sephora."
action: turn direction: right distance: 35 steps landmark: food court,"In 35 steps, turn right towards the food court."
action: turn direction: left distance: 18 steps,"In 18 steps, turn left."
action: turn direction: right distance: 28 steps,"In 28 steps, turn right."
action: turn direction: left distance: 5 steps landmark: elevator,"In 5 steps, turn left towards the elevator."
action: turn direction: right distance: 40 steps landmark: Apple Store,"In 40 steps, turn right towards Apple Store."
action: turn direction: left distance: 14 steps landmark: stairs,"In 14 steps, turn left towards the stairs."
action: turn direction: right distance: 60 steps landmark: H&M,"In 60 steps, turn right towards H&M."
action: turn direction: left distance: 33 steps landmark: escalator,"In 33 steps, turn left towards the escalator."
action: turn direction: right distance: 11 steps landmark: cinema,"In 11 steps, turn right towards the cinema."
action: turn direction: left distance: 25 steps landmark: Nike,"In 25 steps, turn left towards Nike."
action: turn direction: right distance: 19 steps landmark: ATM,"In 19 steps, turn right towards ATM."
action: turn direction: left distance: 42 steps,"In 42 steps, turn left."
action: turn direction: right distance: 7 steps landmark: washroom,"In 7 steps, turn right towards the washroom."
action: turn direction: left distance: 16 steps landmark: elevator,"In 16 steps, turn left towards the elevator."
action: turn direction: right distance: 55 steps landmark: Uniqlo,"In 55 steps, turn right towards Uniqlo."
action: turn direction: left distance: 9 steps landmark: escalator,"In 9 steps, turn left towards the escalator."
action: turn direction: right distance: 31 steps landmark: Starbucks,"In 31 steps, turn right towards Starbucks."
action: turn direction: left distance: 27 steps landmark: stairs,"In 27 steps, turn left towards the stairs."
action: turn direction: right distance: 48 steps landmark: Lego Store,"In 48 steps, turn right towards Lego Store."
action: turn direction: left distance: 13 steps landmark: customer service,"In 13 steps, turn left towards the customer service."
action: turn direction: right distance: 21 steps landmark: pharmacy,"In 21 steps, turn right towards the pharmacy."
action: turn direction: left distance: 37 steps,"In 37 steps, turn left."
action: turn direction: right distance: 4 steps landmark: elevator,"In 4 steps, turn right towards the elevator."
action: turn direction: left distance: 29 steps landmark: Adidas,"In 29 steps, turn left towards Adidas."
action: turn direction: right distance: 17 steps landmark: escalator,"In 17 steps, turn right towards the escalator."
action: turn direction: left distance: 52 steps landmark: food court,"In 52 steps, turn left towards the food court."
action: turn direction: right distance: 24 steps landmark: stairs,"In 24 steps, turn right towards the stairs."
action: turn direction: left distance: 6 steps landmark: washroom,"In 6 steps, turn left towards the washroom."
action: turn direction: right distance: 39 steps landmark: Lush,"In 39 steps, turn right towards Lush."
action: turn direction: left distance: 15 steps landmark: elevator,"In 15 steps, turn left towards the elevator."
action: turn direction: right distance: 44 steps landmark: Gap,"In 44 steps, turn right towards Gap."
action: turn direction: left distance: 22 steps landmark: escalator,"In 22 steps, turn left towards the escalator."
action: turn direction: right distance: 3 steps landmark: stairs,"In 3 steps, turn right towards the stairs."
action: turn direction: left distance: 58 steps landmark: supermarket,"In 58 steps, turn left towards the supermarket."
action: turn direction: right distance: 32 steps landmark: bookstore,"In 32 steps, turn right towards the bookstore."
action: turn direction: left distance: 26 steps landmark: elevator,"In 26 steps, turn left towards the elevator."
action: turn direction: right distance: 12 steps landmark: washroom,"In 12 steps, turn right towards the washroom."
action: turn direction: left distance: 41 steps landmark: GameStop,"In 41 steps, turn left towards GameStop."
action: turn direction: right distance: 20 steps landmark: escalator,"In 20 steps, turn right towards the escalator."
action: turn direction: left distance: 34 steps landmark: stairs,"In 34 steps, turn left towards the stairs."
action: turn direction: right distance: 47 steps landmark: jewelry store,"In 47 steps, turn right towards the jewelry store."
action: turn direction: right distance: 5 steps,"In 5 steps, turn right."
action: turn direction: right distance: 10 steps,"In 10 steps, turn right."
action: turn direction: right distance: 8 steps,"In 8 steps, turn right."
action: turn direction: right distance: 12 steps,"In 12 steps, turn right."
action: turn direction: right distance: 15 steps,"In 15 steps, turn right."
action: turn direction: right distance: 7 steps,"In 7 steps, turn right."
action: turn direction: right distance: 20 steps,"In 20 steps, turn right."
action: turn direction: right distance: 6 steps,"In 6 steps, turn right."
action: turn direction: right distance: 9 steps,"In 9 steps, turn right."
action: turn direction: right distance: 11 steps,"In 11 steps, turn right."
action: turn direction: right distance: 14 steps landmark: elevator,"In 14 steps, turn right towards the elevator."
action: turn direction: right distance: 13 steps landmark: escalator,"In 13 steps, turn right towards the escalator."
action: turn direction: right distance: 16 steps landmark: stairs,"In 16 steps, turn right towards the stairs."
action: turn direction: right distance: 18 steps landmark: washroom,"In 18 steps, turn right towards the washroom."
action: turn direction: right distance: 22 steps landmark: pharmacy,"In 22 steps, turn right towards the pharmacy."
action: turn direction: right distance: 25 steps landmark: Zara,"In 25 steps, turn right towards Zara."
action: turn direction: right distance: 30 steps landmark: H&M,"In 30 steps, turn right towards H&M."
action: turn direction: right distance: 19 steps landmark: Apple Store,"In 19 steps, turn right towards Apple Store."
action: turn direction: right distance: 17 steps landmark: Sephora,"In 17 steps, turn right towards Sephora."
action: turn direction: right distance: 21 steps landmark: Nike,"In 21 steps, turn right towards Nike."
action: turn direction: right distance: 24 steps landmark: Uniqlo,"In 24 steps, turn right towards Uniqlo."
action: turn direction: right distance: 26 steps landmark: food court,"In 26 steps, turn right towards the food court."
action: turn direction: right distance: 35 steps landmark: cinema,"In 35 steps, turn right towards the cinema."
